train_id,score,config/C,config/solver,config/tol
1,0.8816666666666667,0.1273499451427204,sag,0.00022483719652789674
61,0.8816666666666667,0.54304095721358,sag,0.0001863881006875532
70,0.8816666666666667,0.899678051067857,liblinear,0.0004266679193450766
69,0.8816666666666667,0.48162074725154413,lbfgs,0.00042979282763814825
68,0.8816666666666667,0.5250752353392599,lbfgs,0.0009663625375556877
67,0.8816666666666667,0.2523178607930012,sag,0.0002290405174186334
66,0.8816666666666667,0.49405686411615735,saga,0.0002203147764561737
65,0.8816666666666667,0.594788820374441,saga,0.0003701379099284525
64,0.8816666666666667,0.4414396480382339,newton-cg,0.0003377029236932692
63,0.8816666666666667,0.2674098307239555,liblinear,0.000539466030293675
62,0.8816666666666667,0.2962177164627039,lbfgs,0.0004917028060659587
60,0.8816666666666667,0.3028801822326351,newton-cg,0.0007700056155574897
72,0.8816666666666667,0.29437248213749456,sag,0.0002568232857013171
59,0.8816666666666667,0.4496284956931581,sag,0.0002633825898289364
58,0.8816666666666667,0.5214262658413057,lbfgs,0.0001304414663991305
57,0.8816666666666667,0.43851081470650577,lbfgs,0.0009794651057068154
56,0.8816666666666667,0.34665830081558835,lbfgs,0.0009934915376235058
55,0.8816666666666667,0.32855207271446074,lbfgs,0.000613382843108427
54,0.8816666666666667,0.5696676890756234,saga,0.0002364547749779291
53,0.8816666666666667,0.11033397741663048,sag,0.0007288984685827558
52,0.8816666666666667,0.23485186330501823,lbfgs,0.00026527660962749513
51,0.8816666666666667,0.20833522785015113,saga,0.0006246467262123759
71,0.8816666666666667,0.190367071895159,sag,0.0007755495203816998
73,0.8816666666666667,0.35035720400121173,lbfgs,0.00015809723508063958
49,0.8816666666666667,0.2973277539203673,saga,0.0006796102245513426
85,0.8816666666666667,0.5421907310122722,sag,0.0006754711947987338
94,0.8816666666666667,0.46001712963272656,sag,0.0008057624494931473
93,0.8816666666666667,0.3746769063562626,saga,0.00010774481677228828
92,0.8816666666666667,0.5865671528749263,liblinear,0.0003514967670425314
91,0.8816666666666667,0.8615728453920534,liblinear,0.0005710018700679143
90,0.8816666666666667,0.32197757390270676,newton-cg,0.0006335030924471107
89,0.8816666666666667,0.34346356943231837,lbfgs,0.00014526241721691087
88,0.8816666666666667,0.9405851737958186,newton-cg,0.0004263816573939852
87,0.8816666666666667,0.20554955768947125,newton-cg,0.0008117687029083259
86,0.8816666666666667,0.965062066221799,saga,0.0009311578645547452
84,0.8816666666666667,0.5109178101628628,lbfgs,0.0005558300499438766
74,0.8816666666666667,0.3758821836579156,liblinear,0.00034346869956472086
83,0.8816666666666667,0.9187068549912311,saga,0.0006156108173847497
82,0.8816666666666667,0.4098156212540315,lbfgs,0.0009628583476849067
81,0.8816666666666667,0.3823008071016233,newton-cg,0.0003169966310446866
80,0.8816666666666667,0.4572960387480133,lbfgs,0.00016860195027807392
79,0.8816666666666667,0.2271717707494129,sag,0.0006651021293924511
78,0.8816666666666667,0.3585708356651648,newton-cg,0.00098577054618914
77,0.8816666666666667,0.9411171495013713,lbfgs,0.00023772436725716774
76,0.8816666666666667,0.44114378680545463,liblinear,0.00031581452324252687
75,0.8816666666666667,0.16039268202494877,sag,0.0002500828288775391
50,0.8816666666666667,0.4815860951970137,liblinear,0.0001767767141783952
48,0.8816666666666667,0.97159381614038,lbfgs,0.0007136900696317717
2,0.8816666666666667,0.932081819382235,liblinear,0.00030453343039737785
13,0.8816666666666667,0.1726517933717946,newton-cg,0.0005873560537726526
22,0.8816666666666667,0.9151128431948886,liblinear,0.00023201274537568872
21,0.8816666666666667,0.6301378023099303,newton-cg,0.00020994384243232505
20,0.8816666666666667,0.8691587789057992,sag,0.0005924546281165947
19,0.8816666666666667,0.47908855903271064,liblinear,0.0007696314925115055
18,0.8816666666666667,0.12996769853786524,lbfgs,0.0005688021797466597
17,0.8816666666666667,0.8127535817341588,sag,0.0005746665400991873
16,0.8816666666666667,0.630908346903741,liblinear,0.00037649464099730943
15,0.8816666666666667,0.45187626958231497,liblinear,0.000591910162683948
14,0.8816666666666667,0.3151117272155606,saga,0.0008702210871928013
12,0.8816666666666667,0.8873087329454588,lbfgs,0.0003875898018896798
24,0.8816666666666667,0.6300663286347432,sag,0.0003818011283501665
11,0.8816666666666667,0.7072835988792171,sag,0.000783461361083714
10,0.8816666666666667,0.23785215555047512,newton-cg,0.0008146156008798214
9,0.8816666666666667,0.6201214826190231,sag,0.0005853098583025767
8,0.8816666666666667,0.2685947452023837,sag,0.00017144042982642665
7,0.8816666666666667,0.8191040995413398,lbfgs,0.0004586699639576664
6,0.8816666666666667,0.6182373577645005,newton-cg,0.000778969160381837
5,0.8816666666666667,0.3989335507094067,saga,0.00015171362818853354
4,0.8816666666666667,0.9709570521925227,lbfgs,0.0007149426088525321
3,0.8816666666666667,0.6486868821117575,lbfgs,0.00048655045665204716
23,0.8816666666666667,0.5040315314931978,liblinear,0.0005570380359307908
25,0.8816666666666667,0.5767769652941769,sag,0.000270290910247713
47,0.8816666666666667,0.6090684838400447,lbfgs,0.0008558776307304151
37,0.8816666666666667,0.44630233318335033,newton-cg,0.00016969867930764592
46,0.8816666666666667,0.28023239394960564,saga,0.0003065192527345946
45,0.8816666666666667,0.18651336219800013,lbfgs,0.000921214829844034
44,0.8816666666666667,0.5157641324178986,saga,0.00022409227490335437
43,0.8816666666666667,0.49196968123955875,liblinear,0.0005870252423275793
42,0.8816666666666667,0.45991171967420774,saga,0.0001811902234077501
41,0.8816666666666667,0.18453185263212862,liblinear,0.0008059957509435508
40,0.8816666666666667,0.48889254788436676,sag,0.0007916825184747367
39,0.8816666666666667,0.24067782703082907,saga,0.0005240126885036651
38,0.8816666666666667,0.8413551329622005,saga,0.0005583743767757566
36,0.8816666666666667,0.44811973390347815,saga,0.0002834111279500115
26,0.8816666666666667,0.7531959554367892,sag,0.00030589538596304607
35,0.8816666666666667,0.7621947496513972,newton-cg,0.0007627482504460049
34,0.8816666666666667,0.632834414898387,newton-cg,0.0008062844414641443
33,0.8816666666666667,0.19472199788469313,newton-cg,0.0008527135292577564
32,0.8816666666666667,0.36430224647537734,liblinear,0.00042172181790100887
31,0.8816666666666667,0.7894687180214625,lbfgs,0.0005671016122755458
30,0.8816666666666667,0.21176465052213672,saga,0.0008314145167554531
29,0.8816666666666667,0.5492753536970096,sag,0.00034417643020968896
28,0.8816666666666667,0.5638627686975521,sag,0.0008193513836881405
27,0.8816666666666667,0.6840805314272023,liblinear,0.0009338677962719
95,0.8816666666666667,0.19187837651054646,sag,0.000666015337306761
