Special Build Description,mean,median,std
J230-MLB P4b MAIN_DEVSEDEVSOC_1,17.062073863636364,16.991122159090907,0.445948104442405
J230-MLB P4b MAIN_DEVSEDEVSOC_2,29.653480113636352,31.026633522727273,3.5266894054318967
J230-MLB P4b MAIN_FCTSTREAMFBU,17.861919981060602,17.636718749999993,1.133054832562401
J230-MLB P4b MAIN_MAIN1,18.825836489898975,17.85014204545454,2.952824167746683
J230-MLB P4b MAIN_MAIN10,17.810369318181813,17.28835227272727,1.5123159520271585
J230-MLB P4b MAIN_MAIN10A,18.599368886651312,17.84375,2.175789653832686
J230-MLB P4b MAIN_MAIN10REL,17.335289939839566,17.07457386363636,1.1828932821354536
J230-MLB P4b MAIN_MAIN10_EMC6A,16.875774793388427,16.39701704545454,1.2300603047888796
J230-MLB P4b MAIN_MAIN10_EMC6B,19.559801136363635,18.72301136363636,2.903169118685485
J230-MLB P4b MAIN_MAIN11,28.244969223484844,28.689985795454547,2.3480103765583915
J230-MLB P4b MAIN_MAIN11REL,28.13162878787878,28.934303977272727,2.896798066144504
J230-MLB P4b MAIN_MAIN11REL11AISO,28.094126002673786,27.57102272727272,3.2781488432677897
J230-MLB P4b MAIN_MAIN12,27.602209314123378,27.43607954545454,4.946629224304738
J230-MLB P4b MAIN_MAIN12REL,28.87568291083916,29.807883522727266,6.4095546036093936
J230-MLB P4b MAIN_MAIN13,17.346510722140756,17.20667613636363,1.0134814479372742
J230-MLB P4b MAIN_MAIN13REL,17.339945211038955,16.858309659090907,1.3762335564241892
J230-MLB P4b MAIN_MAIN13_EMC8,17.4912168560606,16.93678977272727,1.5279032568693316
J230-MLB P4b MAIN_MAIN14,26.43378652597403,27.59943181818181,5.905966050785416
J230-MLB P4b MAIN_MAIN14_REL,27.26782915360501,28.37357954545454,4.170997074215951
J230-MLB P4b MAIN_MAIN16A_EMC10,28.448390151515145,28.81889204545454,5.244644321579897
J230-MLB P4b MAIN_MAIN1_REL,19.690307088744586,19.72869318181818,2.9983732450595046
J230-MLB P4b MAIN_MAIN21_DES1,17.8080808080808,17.405184659090907,1.7821165677626818
J230-MLB P4b MAIN_MAIN21_TDI3L15,16.629196797520652,16.79190340909091,1.0813228049202308
J230-MLB P4b MAIN_MAIN22_DES2,17.04742578849721,16.99857954545454,0.8424525146028063
J230-MLB P4b MAIN_MAIN22_TDI3L85,21.67567978896103,21.83806818181818,1.3414273839376383
J230-MLB P4b MAIN_MAIN25_DES5,27.492268207644624,27.33451704545454,4.838682467288443
J230-MLB P4b MAIN_MAIN26_DES6,28.756724492263043,29.01136363636363,3.387466616066334
J230-MLB P4b MAIN_MAIN27_DES7,27.192103324915823,27.28657670454545,4.171076241779307
J230-MLB P4b MAIN_MAIN28DESA,27.325380940082642,27.22301136363636,6.015181574940924
J230-MLB P4b MAIN_MAIN28DESB,28.940887237762237,27.36363636363636,5.2969177822409135
J230-MLB P4b MAIN_MAIN29DESA,28.490799328512388,27.74254261363636,4.070455538946409
J230-MLB P4b MAIN_MAIN29DESB,28.41943181818181,29.59090909090908,5.059152544601618
J230-MLB P4b MAIN_MAIN29_NV5,25.89276908233276,25.24928977272727,5.564809451652121
J230-MLB P4b MAIN_MAIN2_REL,30.93110795454545,30.93110795454545,
J230-MLB P4b MAIN_MAIN3,26.419639872994644,27.45738636363636,6.903793285592747
J230-MLB P4b MAIN_MAIN30DES11A,26.096117424242422,26.86079545454545,4.814389076552547
J230-MLB P4b MAIN_MAIN30DES11B,24.169225305944053,26.91654829545454,7.559796148203939
J230-MLB P4b MAIN_MAIN30DES11C,27.829900568181813,27.61576704545454,1.7504975927712398
J230-MLB P4b MAIN_MAIN31_DES12,29.76241206709956,29.69566761363636,4.754189358657703
J230-MLB P4b MAIN_MAIN32_DES13,30.577651515151512,30.82244318181818,3.8361179345990566
J230-MLB P4b MAIN_MAIN33NV4,28.43248168361244,29.119673295454547,6.610268697775802
J230-MLB P4b MAIN_MAIN34BRR,26.98835227272727,26.57954545454545,2.721369352533521
J230-MLB P4b MAIN_MAIN3_EMC2A,27.600781249999994,28.708806818181813,4.8430474220226145
J230-MLB P4b MAIN_MAIN3_EMC2B,28.056868912337656,27.80220170454545,1.4750394300578564
J230-MLB P4b MAIN_MAIN3_REL,26.370569534632025,27.216619318181813,5.9425026964032375
J230-MLB P4b MAIN_MAIN4_1,27.983012523191093,28.06107954545454,6.099105874858454
J230-MLB P4b MAIN_MAIN4_2,23.845826048951036,25.179687499999993,6.018133613200427
J230-MLB P4b MAIN_MAIN4_REL,28.914789244186043,30.0859375,5.311684309739089
J230-MLB P4b MAIN_MAIN5,27.943609481915935,28.17258522727272,3.6269726201999832
J230-MLB P4b MAIN_MAIN5REL,28.438364624505926,28.04971590909091,2.9969975102814312
J230-MLB P4b MAIN_MAIN6,18.291621407085557,17.88458806818181,1.5032349067347113
J230-MLB P4b MAIN_MAIN6_REL,18.859980008417498,18.68465909090908,1.5296956802430053
J230-MLB P4b MAIN_MAIN7_EMC4A,27.03345170454545,27.376775568181813,3.186461857661941
J230-MLB P4b MAIN_MAIN7_EMC4B,27.22058163875598,28.32457386363636,4.247604551836758
J230-MLB P4b MAIN_MAIN7_REL7B_B,32.8700284090909,32.8700284090909,
J230-MLB P4b MAIN_MAIN8_REL,26.32924952651514,27.06178977272727,6.056973496300832
J230-MLB P4b MAIN_MAIN9,27.166236665120582,27.85298295454545,5.721391238318031
J230-MLB P4b MAIN_MAIN9REL,28.356021148989896,28.35404829545454,2.585494957685891
J230-MLB P4b MAIN_SWCFG1I3,18.552382376395524,18.29971590909091,2.495354025216581
J230-MLB P4b MAIN_SWCFG2I7,26.89946732954545,27.879616477272727,6.734951369820488
J230-MLB P4b MAIN_TDI3K85,19.697249483471072,21.15482954545454,3.669128787906563
J230-MLB P4b MAIN_TDI5AL15,27.870679450757574,27.75639204545454,3.74279333525165
J230-MLB P4b MAIN_TDI5DJ85,28.54138688016528,28.01278409090908,1.5767341408881985
J230-MLB P4b MAIN_TDI5K85,28.41055575284091,28.33806818181818,2.560202325186476
J230-MLB P4b MAIN_TDI5L15,25.165660511363633,26.947088068181813,5.471347262400534
J230-MLB P4b MAIN_TDI7AJ85,24.87375710227272,21.628906249999993,6.893350259157342
J230-MLB P4b MAIN_TDI7AL15,25.779873934659086,27.90838068181818,7.789993111618261
J230-MLB P4b MAIN_TDI7DJ85,29.32203733766233,28.13778409090908,2.915321292103508
J230-MLB P4b MAIN_TDI7DL85,30.023437499999996,29.6484375,3.9624163016393172
J230-P4B_FBU-QS2,17.490298027444243,17.50355113636363,0.061458409280653936
J230-P4B_FBU-QSP1,33.04346590909091,33.40802556818181,3.6797739035385963
J230-P4B_Mn 1,21.03338068181818,21.65696022727272,2.874604084197208
J230-P4B_Mn 12,26.512332128099164,26.48366477272727,2.468603951064086
J230-P4B_Mn 15,29.421416788856302,30.36505681818181,2.4498557798990745
J230-P4B_Mn 15-REL,28.05477105614973,29.089488636363633,3.210304402428746
J230-P4B_Mn 16-REL,26.67203537390029,26.23508522727272,5.195414696992669
J230-P4B_Mn 16A-S10,29.57511697860962,29.49147727272727,4.317754185492953
J230-P4B_Mn 17,17.480563446969693,17.242187499999993,1.0726999933482022
J230-P4B_Mn 17-REL,18.379805871212117,17.644176136363633,1.7914571954852114
J230-P4B_Mn 18-11,17.450343276515145,17.24964488636363,1.0765108168711075
J230-P4B_Mn 18-REL,17.523277126099703,17.49289772727272,0.5519531211061529
J230-P4B_Mn 19,28.46713899667405,28.79545454545454,3.9256121795818926
J230-P4B_Mn 19-REL,26.533710430194798,26.46555397727272,3.681199179878695
J230-P4B_Mn 2,26.326473308668074,27.24360795454545,5.4735804663136065
J230-P4B_Mn 2-REL,28.40368700592885,28.93821022727272,4.384141751155946
J230-P4B_Mn 20,30.267168972332012,30.12286931818181,3.2862785211536303
J230-P4B_Mn 20-REL,28.508935117302045,28.27982954545454,4.244757613281355
J230-P4B_Mn 23-3,17.09637530438311,17.499999999999993,1.463605542263218
J230-P4B_Mn 24-4,28.288238636363634,28.64772727272727,4.4396695109180735
J230-P4B_Mn 32-13,27.703207584566588,28.39275568181818,3.253979167810668
J230-P4B_Mn 4,23.89299242424242,22.36505681818181,4.075213620439114
J230-P4B_Mn 7-R7a-B,28.348555871212113,28.53160511363636,4.022149019979436
J230-P4B_Mn 7-R7b-B,27.388642282196958,27.852982954545453,4.293897071925402
J230-P4B_Mn 7-REL,29.817116477272716,30.42613636363636,3.8345137116527046
J230-P4B_Mn 8,27.78227729301948,28.207031249999993,5.3457433909277325
J230-P4B_Mn 8-R8-A,27.74416193181818,27.634588068181813,4.6897690865632455
J230-P4B_Mn 8-REL,29.916015625,30.290482954545453,6.413194252720033
J230-P4B_R11b-A-ISO,28.51483050847459,28.1796875,3.6524604263218428
